Fecha;Arbitro;Local;Visita;GL;GV;PL;PV;RemL;RemV;RpL;RpV;RfL;RfV;RbL;RbV;CL;CV;OffL;OffV;ArqL;ArqV;FL;FV;RL;RV;AL;AV;TpL;TpV;BkL;BkV;AtaqL;AtaqV;DAtaqL;DAtaqV
01.10.2021 10:30;Lopez P. (Per);Ayacucho;Carlos Mannucci;3;2;53%;47%;22;12;13;4;3;4;6;4;4;4;1;3;2;10;13;15;0;0;1;2;398;356;20;24;118;116;58;52
27.09.2021 15:30;Villegas H. (Per);Binacional;San Martín;1;0;43%;57%;13;9;4;1;6;5;3;3;5;3;0;3;1;3;25;4;1;0;2;1;363;487;19;16;97;128;46;66
27.09.2021 11:00;Lopez Ramos P. (Esp);Cusco;AD Cantolao;3;2;59%;41%;20;9;10;5;6;3;4;1;8;3;4;1;3;7;17;24;0;1;4;4;375;273;15;14;106;72;81;32
26.09.2021 18:00;-;Alianza Huánuco;Sporting Cristal;1;2;39%;61%;7;6;2;5;3;1;2;0;2;4;1;1;3;1;20;21;0;1;5;4;292;490;12;9;97;109;68;65
26.09.2021 15:30;Garay L. (Per);Sport Huancayo;Universitario;1;3;61%;39%;10;11;6;5;3;5;1;1;7;2;0;3;2;5;17;19;0;0;2;2;458;295;14;18;119;93;82;67
26.09.2021 13:15;Huaman D. (Per);Melgar;Sport Boys;1;0;47%;53%;11;10;5;1;2;5;4;4;6;1;3;6;1;4;27;12;0;0;0;2;370;423;18;8;121;142;85;71
26.09.2021 11:00;Legario F. (Per);César Vallejo;Dep. Municipal;2;0;39%;61%;10;16;2;3;5;4;3;9;1;4;3;3;3;0;28;15;0;0;4;3;299;468;21;11;99;126;60;84
25.09.2021 15:30;Menendez A. (Per);Alianza Atl.;Alianza Lima;1;3;47%;53%;14;16;1;4;7;5;6;7;9;5;1;3;1;0;15;18;0;0;0;1;335;385;11;22;89;72;83;56
25.09.2021 13:15;Perez R. B. (Per);Carlos Mannucci;Cienciano;1;3;44%;56%;7;14;2;6;3;6;2;2;3;16;2;2;3;1;15;14;0;1;2;2;350;436;24;15;81;89;47;92
25.09.2021 11:00;Ordonez E. (Per);UTC;Ayacucho;0;2;45%;55%;19;13;5;6;12;4;2;3;9;4;1;4;4;5;9;25;1;1;0;1;299;382;16;24;75;95;81;80
23.09.2021 18:00;Garay Evia L. (Per);San Martín;César Vallejo;0;1;47%;53%;6;10;1;2;2;6;3;2;3;2;2;5;1;1;17;20;0;0;1;3;372;425;14;17;124;135;81;79
23.09.2021 15:30;Perez R. B. (Per);Alianza Huánuco;Universitario;0;4;44%;56%;4;21;0;11;4;7;0;3;5;3;1;1;7;0;19;17;1;0;4;0;342;445;20;21;97;123;42;90
23.09.2021 13:15;Menendez A. (Per);AD Cantolao;Binacional;1;2;50%;50%;10;24;3;9;4;9;3;6;4;4;2;8;7;2;17;21;0;0;3;3;384;377;17;12;100;113;51;65
23.09.2021 11:00;Cartagena J. (Per);Dep. Municipal;Sport Huancayo;2;2;64%;36%;6;11;4;7;2;0;0;4;2;9;1;1;5;2;19;16;0;0;1;2;551;293;6;16;107;103;64;74
22.09.2021 15:30;Espinoza M. (Per);Sporting Cristal;Carlos Mannucci;1;3;69%;31%;22;7;6;4;11;3;5;0;8;1;3;1;1;5;9;15;0;0;1;4;535;254;17;21;150;98;140;40
22.09.2021 13:15;Legario F. (Per);Alianza Lima;Melgar;1;0;37%;63%;2;16;1;5;1;9;0;2;0;7;1;1;5;0;14;11;1;0;4;1;334;535;18;14;87;129;22;74
22.09.2021 11:00;Villegas H. (Per);Sport Boys;Cusco;3;2;48%;52%;14;15;6;7;8;4;0;4;5;8;0;0;5;3;16;15;0;0;3;0;329;350;12;13;96;102;64;97
21.09.2021 15:30;Villanueva A. (Per);Ayacucho;Alianza Atl.;0;1;63%;37%;23;15;6;5;11;8;6;2;11;5;1;2;4;6;20;12;0;0;4;2;331;211;8;16;101;71;89;52
21.09.2021 11:00;Quiroz J. (Per);Cienciano;UTC;2;2;57%;43%;14;15;4;5;5;6;5;4;7;13;0;0;3;2;10;13;0;0;2;4;271;199;9;9;103;97;83;85
19.09.2021 15:30;Espinoza M. (Per);Universitario;Dep. Municipal;0;2;52%;48%;14;12;6;6;8;4;0;2;5;5;4;1;4;6;12;16;0;0;3;5;375;366;16;16;136;115;109;62
19.09.2021 11:00;Espinoza J. (Per);Sport Huancayo;San Martín;3;1;56%;44%;10;7;6;2;2;2;2;3;5;6;2;1;1;3;16;22;0;0;3;2;422;324;16;11;116;123;66;85
18.09.2021 15:30;Ordonez E. (Per);Binacional;Sport Boys;1;2;49%;51%;18;10;7;5;8;2;3;3;8;6;4;10;3;6;14;10;0;0;2;0;344;352;9;15;111;118;88;81
18.09.2021 13:15;Quiroz J. (Per);César Vallejo;AD Cantolao;0;0;54%;46%;4;7;1;4;3;2;0;1;1;2;2;2;4;1;25;19;1;0;6;3;386;332;12;8;106;128;61;61
18.09.2021 11:00;Haro Sueldo D. M. (Per);Carlos Mannucci;Alianza Huánuco;1;1;38%;62%;7;11;2;6;3;3;2;2;5;9;0;4;5;1;17;17;1;0;5;2;283;442;17;13;94;126;55;104
17.09.2021 18:00;Menendez A. (Per);Melgar;Ayacucho;1;1;67%;33%;14;11;4;5;7;5;3;1;12;4;2;0;4;3;13;13;0;1;2;4;435;214;15;13;123;99;116;62
17.09.2021 15:30;Perez R. B. (Per);Cusco;Alianza Lima;0;2;44%;56%;6;11;2;6;2;1;2;4;6;12;0;1;4;2;7;13;0;0;2;0;349;447;26;24;102;115;85;92
17.09.2021 13:15;Cartagena J. (Per);UTC;Sporting Cristal;1;6;31%;69%;8;16;4;8;1;4;3;4;2;7;1;1;2;3;18;13;0;0;1;0;269;595;10;11;91;140;60;91
17.09.2021 11:00;Mendoza J. (Per);Alianza Atl.;Cienciano;2;2;29%;71%;8;18;4;4;1;10;3;4;2;5;1;1;2;2;16;15;1;0;5;3;214;507;13;16;76;98;37;61
13.09.2021 15:30;Haro D. (Per);San Martín;Universitario;0;2;46%;54%;8;14;3;7;3;4;2;3;4;6;0;1;5;3;20;13;0;0;2;3;328;372;16;15;112;121;65;98
13.09.2021 13:15;-;Sport Boys;César Vallejo;2;2;37%;63%;11;9;3;5;5;0;3;4;3;4;6;0;3;1;21;19;0;0;1;3;267;470;14;11;101;123;60;68
12.09.2021 18:00;Ordonez E. (Per);Cienciano;Melgar;0;1;45%;55%;6;12;1;5;1;5;4;2;5;4;1;1;4;1;15;17;0;0;3;3;360;430;6;17;136;138;90;87
12.09.2021 15:30;Garay L. (Per);Sporting Cristal;Alianza Atl.;5;2;63%;37%;12;11;7;2;3;6;2;3;4;5;1;0;0;2;20;18;0;0;2;2;370;213;8;13;104;88;78;63
12.09.2021 13:15;Menendez A. (Per);Alianza Lima;Binacional;3;2;63%;37%;20;19;8;3;7;11;5;5;5;3;5;2;1;5;13;23;0;0;2;4;409;247;20;8;147;116;116;72
12.09.2021 11:00;Seminario L. (Per);Carlos Mannucci;UTC;1;3;57%;43%;7;13;4;8;1;4;2;1;4;5;0;4;5;3;21;15;0;0;3;1;371;284;14;12;124;120;79;89
11.09.2021 15:30;Villanueva A. (Per);Alianza Huánuco;Dep. Municipal;0;3;45%;55%;13;11;2;8;8;2;3;1;4;2;2;0;5;2;12;11;0;0;3;2;423;529;20;18;129;118;79;61
11.09.2021 13:15;Palomino M. (Per);Ayacucho;Cusco;1;3;51%;49%;20;11;3;6;14;3;3;2;8;7;0;4;3;2;21;10;1;0;4;4;328;324;10;14;131;110;95;75
11.09.2021 11:00;-;AD Cantolao;Sport Huancayo;0;0;47%;53%;11;10;5;1;4;6;2;3;7;2;4;3;1;5;13;13;0;0;2;2;363;407;13;17;102;106;68;78
03.09.2021 15:30;Ortega K. (Per);Sporting Cristal;San Martín;1;1;59%;41%;10;10;2;2;4;5;4;3;5;4;5;1;1;1;10;15;0;1;2;2;488;343;10;14;143;107;103;59
03.09.2021 11:30;Ordonez E. (Per);Dep. Municipal;Sport Boys;0;1;64%;36%;18;12;2;4;8;5;8;3;8;4;0;4;3;2;13;19;0;0;2;3;570;311;16;18;122;99;94;65
29.08.2021 15:30;Ortega K. (Per);César Vallejo;Alianza Lima;0;1;65%;35%;7;8;2;3;4;3;1;2;2;3;0;5;2;2;15;17;0;0;3;4;538;275;20;25;116;80;43;43
29.08.2021 13:15;Seminario L. (Per);Dep. Municipal;San Martín;2;0;69%;31%;14;7;4;0;8;5;2;2;6;3;5;5;0;2;14;16;0;1;1;5;656;287;13;16;135;103;70;52
29.08.2021 11:00;Perez R. B. (Per);Sport Huancayo;Sport Boys;1;1;51%;49%;13;9;3;3;7;6;3;0;5;2;1;8;2;2;16;15;0;0;0;1;443;429;16;23;94;97;75;44
28.08.2021 15:30;Legario F. (Per);Universitario;AD Cantolao;2;2;62%;38%;21;8;7;3;7;4;7;1;10;2;4;3;1;5;16;19;0;0;1;3;465;294;22;16;126;104;117;77
28.08.2021 13:15;-;UTC;Alianza Huánuco;1;0;41%;59%;8;3;2;1;6;2;-;-;2;5;-;-;1;1;-;-;0;1;3;3;-;-;-;-;93;120;53;58
28.08.2021 11:00;Villanueva A. (Per);Alianza Atl.;Carlos Mannucci;2;0;53%;47%;17;8;5;3;5;2;7;3;3;6;1;0;3;3;13;17;1;1;4;2;415;349;12;16;116;100;83;73
27.08.2021 15:30;Espinoza M. (Per);Cusco;Cienciano;2;2;44%;56%;14;16;5;7;9;7;0;2;3;5;0;2;5;3;18;17;1;1;6;3;323;386;18;19;110;117;68;87
27.08.2021 13:15;Haro Sueldo D. M. (Per);Melgar;Sporting Cristal;0;1;43%;57%;7;17;1;5;5;9;1;3;6;2;2;3;4;1;17;20;0;0;2;1;317;437;19;23;130;129;92;87
27.08.2021 11:00;Alarcon J. (Per);Binacional;Ayacucho;3;1;42%;58%;23;22;7;9;11;9;5;4;5;6;2;8;8;4;25;15;0;0;4;1;354;473;12;10;102;125;57;90
23.08.2021 18:00;-;AD Cantolao;Dep. Municipal;2;1;50%;50%;7;6;4;2;1;3;2;1;4;5;2;2;1;2;22;19;0;0;3;2;319;313;15;22;105;112;63;76
23.08.2021 15:30;Alarcon J. (Per);Alianza Lima;Sport Huancayo;1;1;42%;58%;11;11;6;2;4;3;1;6;3;3;1;0;1;5;17;15;0;0;0;0;347;478;11;14;94;113;54;70
23.08.2021 13:15;Haro Sueldo D. M. (Per);UTC;Alianza Atl.;3;1;49%;51%;18;11;6;5;5;4;7;2;7;2;3;3;4;3;13;10;0;0;2;2;321;347;15;21;106;94;83;52
23.08.2021 11:00;Lopez Ramos P. (Esp);Alianza Huánuco;San Martín;1;1;49%;51%;14;9;3;4;8;3;3;2;8;6;1;2;3;2;16;18;0;0;2;2;-;-;-;-;92;116;62;79
22.08.2021 18:00;Villanueva A. (Per);Sporting Cristal;Cusco;4;1;62%;38%;17;7;10;1;5;4;2;2;9;3;2;0;0;6;12;9;0;0;1;1;578;346;16;14;148;123;100;65
22.08.2021 15:30;Espinoza M. (Per);Sport Boys;Universitario;0;0;55%;45%;10;9;5;2;5;6;0;1;8;5;4;2;2;5;14;16;1;1;0;2;387;319;12;14;86;92;65;65
